time,times_worked,type,input_type,input_quantity
2009752,50,0,random,32K_string_1
328943,50,1,random,32K_string_1
325783,50,2,random,32K_string_1
2889562,50,0,reversed,32K_string_1
317595,50,3,random,32K_string_1
294443,50,4,random,32K_string_1
220295,50,5,random,32K_string_1
13750,50,6,random,32K_string_1
9806,50,7,random,32K_string_1
1180251,50,1,reversed,32K_string_1
1179162,50,2,reversed,32K_string_1
1177573,50,3,reversed,32K_string_1
7237678,50,0,sorted,32K_string_1
1140651,50,4,reversed,32K_string_1
1103295,50,5,reversed,32K_string_1
16215,50,6,reversed,32K_string_1
9042,50,7,reversed,32K_string_1
7918169,50,0,random,64K_string_1
1163630,50,1,random,64K_string_1
5663961,50,1,sorted,32K_string_1
1168502,50,2,random,64K_string_1
1142136,50,3,random,64K_string_1
1076062,50,4,random,64K_string_1
858386,50,5,random,64K_string_1
28770,50,6,random,64K_string_1
20936,50,7,random,64K_string_1
5468790,50,2,sorted,32K_string_1
5211901,50,3,sorted,32K_string_1
15306340,50,0,reversed,64K_string_1
5147441,50,4,sorted,32K_string_1
8463156,50,1,reversed,64K_string_1
5064950,50,5,sorted,32K_string_1
20044,50,6,sorted,32K_string_1
8809,50,7,sorted,32K_string_1
8457715,50,2,reversed,64K_string_1
8460326,50,3,reversed,64K_string_1
8436534,50,4,reversed,64K_string_1
27163229,50,0,sorted,64K_string_1
8265394,50,5,reversed,64K_string_1
30682,50,6,reversed,64K_string_1
17017,50,7,reversed,64K_string_1
20345173,50,1,sorted,64K_string_1
20080059,50,2,sorted,64K_string_1
20111090,50,3,sorted,64K_string_1
20021934,50,4,sorted,64K_string_1
19699341,50,5,sorted,64K_string_1
35434,50,6,sorted,64K_string_1
15321,50,7,sorted,64K_string_1
